#Read position (bp)	Clipping profile
358.0	0.0
359.0	0.0
360.0	0.0
361.0	0.0
362.0	0.0
363.0	0.0
364.0	0.0
365.0	0.0
366.0	0.0
367.0	0.0
368.0	0.0
369.0	0.0
370.0	0.0
371.0	0.0
372.0	0.0
373.0	0.0
374.0	0.0
375.0	0.0
376.0	0.0
377.0	0.0
378.0	0.0
379.0	0.0
380.0	0.0
381.0	0.0
382.0	0.0
383.0	0.0
384.0	0.0
385.0	4.623197819699908E-5
386.0	4.623197819699908E-5
387.0	4.623197819699908E-5
388.0	4.623197819699908E-5
389.0	4.623197819699908E-5
390.0	4.623197819699908E-5
391.0	4.623197819699908E-5
392.0	4.623197819699908E-5
393.0	4.623197819699908E-5
394.0	4.623197819699908E-5
395.0	4.623197819699908E-5
396.0	4.623197819699908E-5
397.0	3.2362384737899357E-4
398.0	3.2362384737899357E-4
399.0	3.2362384737899357E-4
400.0	3.2362384737899357E-4
401.0	3.2362384737899357E-4
402.0	3.2362384737899357E-4
403.0	3.2362384737899357E-4
404.0	3.2362384737899357E-4
405.0	3.2362384737899357E-4
406.0	3.2362384737899357E-4
407.0	2.773918691819945E-4
408.0	1.3869593459099724E-4
409.0	1.3869593459099724E-4
410.0	1.3869593459099724E-4
411.0	9.246395639399816E-5
412.0	9.246395639399816E-5
413.0	9.246395639399816E-5
414.0	9.246395639399816E-5
415.0	9.246395639399816E-5
416.0	9.246395639399816E-5
417.0	9.246395639399816E-5
418.0	4.623197819699908E-5
419.0	4.623197819699908E-5
420.0	4.623197819699908E-5
421.0	4.623197819699908E-5
422.0	4.623197819699908E-5
423.0	4.623197819699908E-5
424.0	4.623197819699908E-5
425.0	4.623197819699908E-5
426.0	4.623197819699908E-5
427.0	4.623197819699908E-5
428.0	4.623197819699908E-5
429.0	4.623197819699908E-5
430.0	4.623197819699908E-5
431.0	4.623197819699908E-5
432.0	4.623197819699908E-5
433.0	4.623197819699908E-5
434.0	4.623197819699908E-5
435.0	4.623197819699908E-5
436.0	4.623197819699908E-5
437.0	4.623197819699908E-5
438.0	4.623197819699908E-5
439.0	4.623197819699908E-5
440.0	4.623197819699908E-5
441.0	4.623197819699908E-5
442.0	4.623197819699908E-5
443.0	4.623197819699908E-5
444.0	4.623197819699908E-5
445.0	4.623197819699908E-5
446.0	4.623197819699908E-5
447.0	4.623197819699908E-5
448.0	4.623197819699908E-5
449.0	0.0
450.0	0.0
451.0	0.0
452.0	0.0
453.0	0.0
454.0	0.0
455.0	0.0
456.0	0.0
457.0	0.0
458.0	0.0
459.0	0.0
460.0	0.0
461.0	0.0
462.0	0.0
463.0	0.0
464.0	0.0
465.0	0.0
466.0	0.0
467.0	0.0
468.0	0.0
469.0	0.0
470.0	0.0
471.0	0.0
472.0	0.0
473.0	0.0
474.0	0.0
475.0	0.0
476.0	0.0
477.0	0.0
478.0	0.0
479.0	0.0
480.0	0.0
481.0	0.0
482.0	0.0
483.0	0.0
484.0	0.0
485.0	0.0
486.0	0.0
487.0	0.0
488.0	0.0
489.0	0.0
490.0	0.0
491.0	0.0
492.0	0.0
493.0	0.0
494.0	0.0
495.0	0.0
496.0	0.0
497.0	0.0
498.0	0.0
499.0	4.623197819699908E-5
500.0	4.623197819699908E-5
501.0	4.623197819699908E-5
502.0	4.623197819699908E-5
503.0	4.623197819699908E-5
504.0	4.623197819699908E-5
505.0	4.623197819699908E-5
506.0	4.623197819699908E-5
507.0	4.623197819699908E-5
508.0	4.623197819699908E-5
509.0	4.623197819699908E-5
510.0	4.623197819699908E-5
511.0	4.623197819699908E-5
512.0	4.623197819699908E-5
513.0	4.623197819699908E-5
514.0	4.623197819699908E-5
515.0	4.623197819699908E-5
516.0	4.623197819699908E-5
517.0	4.623197819699908E-5
518.0	4.623197819699908E-5
519.0	4.623197819699908E-5
520.0	4.623197819699908E-5
521.0	0.0
522.0	0.0
523.0	0.0
524.0	0.0
525.0	0.0
526.0	0.0
527.0	0.0
528.0	0.0
529.0	0.0
530.0	0.0
531.0	0.0
532.0	0.0
533.0	0.0
534.0	0.0
535.0	0.0
536.0	0.0
537.0	0.0
538.0	0.0
539.0	0.0
540.0	0.0
541.0	0.0
542.0	0.0
543.0	0.0
544.0	0.0
545.0	0.0
546.0	0.0
547.0	0.0
548.0	0.0
549.0	0.0
550.0	0.0
551.0	0.0
552.0	0.0
